

10000	.0047100	.0020060	.002846
20000	.0105890	.0041110	.006126
30000	.0172750	.0060100	.009639
40000	.0237500	.0088820	.013639
50000	.0310500	.0111770	.017977
60000	.0380360	.0138720	.021198
70000	.0443800	.0162280	.025361
80000	.0547120	.0205070	.032312
90000	.0612120	.0205070	.034243
100000	.0698540	.0246650	.037484
200000	.1485690	.0501720	.082134
